"","Station","Year","GRID","TOT","easting","northing"
"186","BH29",2012,3,5,579097.924625384,2844086.92153211
"187","BH29",2013,1,3,579186.019736343,2844160.84210723
"188","BH29",2013,2,3,579140.057069756,2844122.27485065
"189","BH29",2013,3,4,579097.924625384,2844086.92153211
"190","BH29",2014,1,4,579186.019736343,2844160.84210723
"191","BH29",2014,2,4,579140.057069756,2844122.27485065
"192","BH29",2014,3,5,579097.924625384,2844086.92153211
"193","BH29",2015,1,5,579186.019736343,2844160.84210723
"194","BH29",2015,2,0,579140.057069756,2844122.27485065
"195","BH29",2015,3,0.5,579097.924625384,2844086.92153211
"196","BH29",2016,1,4,579186.019736343,2844160.84210723
"197","BH29",2016,2,0,579140.057069756,2844122.27485065
"198","BH29",2016,3,0,579097.924625384,2844086.92153211
"199","BH29",2017,1,4,579186.019736343,2844160.84210723
"200","BH29",2017,2,3,579140.057069756,2844122.27485065
"201","BH29",2017,3,2,579097.924625384,2844086.92153211
"202","BH29",2018,1,4,579186.019736343,2844160.84210723
"203","BH29",2018,2,0.5,579140.057069756,2844122.27485065
"204","BH29",2018,3,0.5,579097.924625384,2844086.92153211
"205","BH29",2019,1,0,579186.019736343,2844160.84210723
"206","BH29",2019,2,3,579140.057069756,2844122.27485065
"207","BH29",2019,3,3,579097.924625384,2844086.92153211
"208","BH29",2020,1,5,579186.019736343,2844160.84210723
"209","BH29",2020,2,4,579140.057069756,2844122.27485065
"210","BH29",2020,3,4,579097.924625384,2844086.92153211
"211","BH29",2021,1,5,579186.019736343,2844160.84210723
"212","BH29",2021,2,3,579140.057069756,2844122.27485065
"213","BH29",2021,3,2,579097.924625384,2844086.92153211
"214","BH29",2022,1,4,579186.019736343,2844160.84210723
"215","BH29",2022,2,4,579140.057069756,2844122.27485065
"216","BH29",2022,3,5,579097.924625384,2844086.92153211
"217","BH29",2023,1,5,579186.019736343,2844160.84210723
"218","BH29",2023,2,5,579140.057069756,2844122.27485065
"219","BH29",2023,3,5,579097.924625384,2844086.92153211
"220","BH31",2009,1,3,578214.886374185,2834431.27987898
"221","BH31",2009,2,5,578239.886374185,2834387.97860879
"222","BH31",2009,3,5,578270.386374185,2834335.15105916
"223","BH31",2010,1,5,578214.886374185,2834431.27987898
"224","BH31",2010,2,5,578239.886374185,2834387.97860879
"225","BH31",2010,3,5,578270.386374185,2834335.15105916
"226","BH31",2011,1,4,578214.886374185,2834431.27987898
"227","BH31",2011,2,4,578239.886374185,2834387.97860879
"228","BH31",2011,3,4,578270.386374185,2834335.15105916
"229","BH31",2012,1,4,578214.886374185,2834431.27987898
"230","BH31",2012,2,5,578239.886374185,2834387.97860879
"231","BH31",2012,3,5,578270.386374185,2834335.15105916
"232","BH31",2013,1,4,578214.886374185,2834431.27987898
"233","BH31",2013,2,5,578239.886374185,2834387.97860879
